location_name,country,latitude,longitude,timestamp,temperature,humidity,wind_speed,pressure,precipitation,sensor_id
Accra,Ghana,5.55,-0.22,2024-05-16 08:45:00,29.0,84,9.0,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-05-16 14:00:00,31.0,71,16.9,1011.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-05-17 16:00:00,30.0,70,16.9,1010.0,0.02,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-05-18 14:30:00,32.0,67,16.9,1009.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-05-19 14:00:00,30.2,67,17.6,1009.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-05-20 14:45:00,32.0,71,20.2,1010.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-05-21 14:45:00,33.0,67,19.1,1011.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-05-22 14:15:00,29.7,72,24.8,1011.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-05-23 14:00:00,28.0,84,19.1,1011.0,0.02,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-05-24 14:30:00,29.8,68,23.0,1010.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-05-25 14:00:00,28.2,76,13.0,1012.0,1.54,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-05-26 14:00:00,30.0,75,16.9,1013.0,0.18,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-05-27 14:30:00,31.0,63,20.2,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-05-28 14:30:00,31.0,75,22.0,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-05-29 14:00:00,29.2,71,23.4,1012.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-05-30 13:45:00,32.0,71,24.1,1011.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-05-31 14:15:00,30.0,75,25.9,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-01 14:15:00,31.0,71,20.2,1013.0,0.05,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-02 14:00:00,23.0,94,9.0,1014.0,0.96,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-03 14:15:00,28.9,69,16.6,1012.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-04 14:15:00,30.0,75,22.0,1012.0,0.17,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-05 14:15:00,28.7,70,19.8,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-06 14:00:00,29.0,79,29.9,1013.0,0.05,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-07 14:00:00,28.4,79,9.0,1015.0,0.39,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-08 14:15:00,30.3,75,19.1,1014.0,0.38,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-09 14:15:00,29.1,79,22.0,1012.0,0.13,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-10 14:15:00,30.3,75,24.1,1013.0,0.04,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-11 14:00:00,28.4,79,28.1,1014.0,0.04,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-12 14:15:00,28.1,71,19.8,1012.0,0.29,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-13 14:00:00,30.3,75,19.1,1012.0,0.02,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-14 14:00:00,27.3,75,25.2,1012.0,0.1,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-15 14:00:00,29.3,70,9.0,1013.0,0.38,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-16 13:45:00,27.0,78,17.3,1011.0,0.99,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-17 14:00:00,28.0,71,16.6,1011.0,0.05,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-18 14:00:00,31.2,71,16.9,1012.0,0.04,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-19 13:45:00,30.0,75,25.9,1011.0,0.03,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-20 13:45:00,30.3,79,22.0,1011.0,0.03,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-21 13:30:00,29.0,70,28.1,1013.0,0.02,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-22 13:45:00,31.1,66,16.9,1012.0,0.77,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-23 13:45:00,27.2,76,17.6,1012.0,0.31,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-24 13:45:00,31.1,66,20.2,1011.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-25 13:15:00,26.5,78,16.6,1012.0,0.39,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-26 13:30:00,29.4,79,22.0,1012.0,0.35,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-27 13:15:00,31.3,66,19.1,1011.0,0.04,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-28 13:15:00,28.3,84,28.1,1012.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-29 12:45:00,29.0,75,22.0,1012.0,0.61,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-06-30 13:30:00,29.1,75,28.1,1012.0,0.28,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-01 13:15:00,30.0,66,24.1,1013.0,0.08,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-02 13:15:00,31.2,66,28.1,1012.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-03 13:00:00,26.4,75,24.1,1012.0,0.09,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-04 13:00:00,28.1,74,20.2,1014.0,0.15,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-05 12:45:00,28.4,79,13.0,1014.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-06 13:15:00,30.3,70,15.1,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-07 13:00:00,29.2,75,22.0,1013.0,0.05,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-08 13:00:00,27.3,84,20.2,1014.0,0.09,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-09 12:45:00,27.2,84,22.0,1013.0,0.21,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-10 13:00:00,28.2,74,29.9,1014.0,0.03,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-11 12:45:00,27.1,79,20.2,1015.0,0.04,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-12 13:00:00,26.1,89,20.2,1015.0,0.12,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-13 13:00:00,27.3,79,28.1,1014.0,0.04,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-14 13:15:00,26.5,71,18.7,1015.0,0.05,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-15 13:00:00,25.5,78,24.8,1015.0,0.06,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-16 12:45:00,26.3,84,22.0,1016.0,0.04,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-17 12:45:00,28.1,74,20.2,1015.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-18 12:45:00,27.1,79,24.1,1015.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-19 12:30:00,27.1,84,20.2,1015.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-20 12:45:00,27.2,89,22.0,1015.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-23 12:30:00,25.7,74,16.9,1017.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-24 12:45:00,25.2,77,19.4,1017.0,0.04,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-25 12:15:00,26.1,72,24.1,1016.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-26 12:30:00,25.8,76,23.4,1015.0,0.03,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-27 12:30:00,26.0,77,21.6,1014.0,0.05,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-28 12:45:00,25.1,79,23.4,1016.0,0.05,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-29 12:15:00,25.8,71,19.1,1015.0,0.02,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-30 12:15:00,25.2,76,21.2,1015.0,0.02,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-07-31 12:15:00,25.1,78,22.7,1014.0,0.05,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-01 12:15:00,25.0,81,24.8,1014.0,0.2,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-02 12:15:00,25.5,77,19.1,1014.0,0.02,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-03 12:30:00,25.4,76,18.4,1015.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-04 12:30:00,26.0,70,14.4,1016.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-05 12:30:00,26.0,71,18.4,1015.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-08-06 12:15:00,25.2,75,21.2,1015.0,0.03,Accra_Ghana
